Row_Number,Column,Original_Value,Replacement_Value
3106.0,CH9(us),1442.0,1464.0
3115.0,CH9(us),1482.0,1464.0
3269.0,CH9(us),1561.0,1443.0
3727.0,CH9(us),1443.0,1385.5
3894.0,CH9(us),1450.0,1464.0
4009.0,CH9(us),1478.0,1476.0
4020.0,CH9(us),1457.0,1476.0
4728.0,CH9(us),1584.0,1442.0
4762.0,CH9(us),1468.0,1476.0
4770.0,CH9(us),1504.0,1476.0
4780.0,CH9(us),1467.0,1476.0
4812.0,CH9(us),1516.0,1421.0
4960.0,CH9(us),1414.0,1442.0
5011.0,CH9(us),1431.0,1442.0
18.0,CH10(us),1452.0,1539.0
199.0,CH10(us),1561.0,1525.0
1567.0,CH10(us),1538.0,1524.5
1785.0,CH10(us),1495.0,1489.0
1858.0,CH10(us),1470.0,1489.0
1877.0,CH10(us),1520.0,1489.0
2130.0,CH10(us),1558.0,1525.5
2174.0,CH10(us),1572.0,1525.0
2225.0,CH10(us),1476.0,1525.0
2232.0,CH10(us),1559.0,1525.0
2370.0,CH10(us),1541.0,1525.0
2494.0,CH10(us),1512.0,1525.0
2556.0,CH10(us),1550.0,1525.0
2566.0,CH10(us),1544.0,1525.0
2582.0,CH10(us),1575.0,1525.5
2781.0,CH10(us),1540.0,1525.0
3106.0,CH10(us),1541.0,1525.0
3276.0,CH10(us),1566.0,1539.0
3880.0,CH10(us),1504.0,1525.0
3894.0,CH10(us),1539.0,1525.0
4009.0,CH10(us),1514.0,1510.0
4020.0,CH10(us),1468.0,1510.0
4039.0,CH10(us),1540.0,1510.0
4252.0,CH10(us),1404.0,1535.0
4420.0,CH10(us),1442.0,1551.0
4762.0,CH10(us),1495.0,1510.0
4770.0,CH10(us),1531.0,1510.0
4780.0,CH10(us),1518.0,1510.0
4994.0,CH10(us),1547.0,1539.0
5011.0,CH10(us),1546.0,1539.0
63.0,GPS,47.302740 8.740888,47.302725 8.740663 [reason=impossible-jump]
111.0,GPS,47.300003 8.745440,47.300154 8.745430 [reason=impossible-jump]
925.0,GPS,47.303166 8.739436,47.303343 8.739406 [reason=impossible-jump]
993.0,GPS,47.303500 8.739123,47.303330 8.739123 [reason=impossible-jump]
1250.0,GPS,47.301903 8.738608,47.301698 8.738619 [reason=impossible-jump]
1300.0,GPS,-535.115875 8.738633,47.302113 8.738704 [reason=out-of-range]
1301.0,GPS,-535.115875 8.738633,47.302199 8.738775 [reason=out-of-range]
1645.0,GPS,47.299950 8.738296,47.299938 8.738514 [reason=impossible-jump]
1775.0,GPS,47.301526 8.740661,47.301527 8.740398 [reason=impossible-jump]
1944.0,GPS,47.303893 8.740641,47.303885 8.740963 [reason=impossible-jump]
2468.0,GPS,47.303460 8.737191,47.303723 8.737205 [reason=impossible-jump]
3177.0,GPS,47.300610 8.744963,47.300596 8.745290 [reason=impossible-jump]
5076.0,GPS,-535.115875 8.741335,47.303777 8.741328 [reason=out-of-range]
5077.0,GPS,-535.115875 8.741315,47.303713 8.741322 [reason=out-of-range]
,GPS_WARNING_INVALID_FORMAT,0,0.00%
,GPS_WARNING_OUT_OF_RANGE,4,0.07%
,GPS_WARNING_IMPOSSIBLE_JUMP,10,0.18%
,GPS_SMOOTHED_POINTS,5515,99.96%
